  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1408                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.9944   0.01012   0.00616  -0.0254   1.0000   0.0044
  -9.900  -0.9843   0.00999   0.00602  -0.0253   1.0000   0.0044
  -9.800  -0.9743   0.00987   0.00590  -0.0251   1.0000   0.0045
  -9.700  -0.9643   0.00975   0.00577  -0.0249   1.0000   0.0046
  -9.600  -0.9543   0.00963   0.00565  -0.0247   1.0000   0.0046
  -9.500  -0.9444   0.00952   0.00554  -0.0245   1.0000   0.0047
  -9.400  -0.9345   0.00941   0.00542  -0.0243   1.0000   0.0047
  -9.300  -0.9246   0.00930   0.00530  -0.0241   1.0000   0.0048
  -9.200  -0.9148   0.00920   0.00520  -0.0238   1.0000   0.0048
  -9.100  -0.9050   0.00909   0.00509  -0.0236   1.0000   0.0049
  -9.000  -0.8953   0.00899   0.00497  -0.0233   1.0000   0.0050
  -8.900  -0.8856   0.00889   0.00487  -0.0231   1.0000   0.0050
  -8.800  -0.8759   0.00880   0.00478  -0.0228   1.0000   0.0050
  -8.700  -0.8646   0.00870   0.00468  -0.0228   0.9999   0.0051
  -8.600  -0.8524   0.00860   0.00458  -0.0231   0.9997   0.0052
  -8.500  -0.8403   0.00851   0.00447  -0.0234   0.9995   0.0052
  -8.400  -0.8280   0.00842   0.00438  -0.0237   0.9992   0.0052
  -8.300  -0.8158   0.00833   0.00429  -0.0240   0.9990   0.0053
  -8.200  -0.8035   0.00824   0.00420  -0.0243   0.9986   0.0053
  -8.100  -0.7912   0.00815   0.00411  -0.0246   0.9983   0.0053
  -8.000  -0.7789   0.00807   0.00403  -0.0249   0.9979   0.0053
  -7.900  -0.7665   0.00800   0.00396  -0.0252   0.9976   0.0053
  -7.800  -0.7543   0.00784   0.00377  -0.0255   0.9972   0.0056
  -7.700  -0.7419   0.00770   0.00362  -0.0258   0.9968   0.0060
  -7.600  -0.7294   0.00759   0.00351  -0.0261   0.9964   0.0063
  -7.500  -0.7168   0.00748   0.00341  -0.0265   0.9960   0.0065
  -7.400  -0.7042   0.00739   0.00331  -0.0268   0.9954   0.0067
  -7.300  -0.6915   0.00730   0.00323  -0.0272   0.9949   0.0068
  -7.200  -0.6788   0.00721   0.00314  -0.0276   0.9943   0.0070
  -7.100  -0.6678   0.00713   0.00306  -0.0276   0.9927   0.0072
  -7.000  -0.6565   0.00706   0.00299  -0.0277   0.9910   0.0073
  -6.900  -0.6448   0.00699   0.00292  -0.0278   0.9894   0.0074
  -6.800  -0.6330   0.00692   0.00285  -0.0279   0.9877   0.0075
  -6.700  -0.6212   0.00685   0.00278  -0.0281   0.9859   0.0076
  -6.600  -0.6094   0.00679   0.00272  -0.0283   0.9842   0.0077
  -6.500  -0.5981   0.00673   0.00266  -0.0283   0.9823   0.0077
  -6.400  -0.5873   0.00668   0.00261  -0.0282   0.9802   0.0078
  -6.300  -0.5764   0.00663   0.00255  -0.0282   0.9777   0.0078
  -6.200  -0.5657   0.00654   0.00245  -0.0280   0.9747   0.0083
  -6.100  -0.5551   0.00645   0.00235  -0.0279   0.9717   0.0091
  -6.000  -0.5443   0.00638   0.00228  -0.0278   0.9691   0.0095
  -5.900  -0.5335   0.00631   0.00222  -0.0277   0.9664   0.0100
  -5.800  -0.5227   0.00626   0.00216  -0.0276   0.9631   0.0102
  -5.700  -0.5121   0.00621   0.00211  -0.0275   0.9591   0.0105
  -5.600  -0.5014   0.00616   0.00205  -0.0274   0.9555   0.0107
  -5.500  -0.4904   0.00611   0.00200  -0.0273   0.9524   0.0108
  -5.400  -0.4795   0.00607   0.00196  -0.0272   0.9481   0.0109
  -5.300  -0.4688   0.00604   0.00191  -0.0271   0.9434   0.0110
  -5.200  -0.4580   0.00598   0.00183  -0.0270   0.9394   0.0119
  -5.100  -0.4470   0.00592   0.00177  -0.0270   0.9349   0.0128
  -5.000  -0.4363   0.00587   0.00171  -0.0269   0.9295   0.0135
  -4.900  -0.4253   0.00582   0.00166  -0.0268   0.9249   0.0141
  -4.800  -0.4143   0.00578   0.00161  -0.0268   0.9198   0.0146
  -4.700  -0.4034   0.00575   0.00157  -0.0267   0.9142   0.0149
  -4.600  -0.3923   0.00572   0.00152  -0.0267   0.9092   0.0150
  -4.500  -0.3813   0.00568   0.00147  -0.0266   0.9028   0.0160
  -4.400  -0.3704   0.00564   0.00142  -0.0265   0.8969   0.0175
  -4.300  -0.3593   0.00559   0.00137  -0.0265   0.8909   0.0189
