  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000  -0.1075   0.00549   0.00122  -0.0014   0.7846   0.5826
  -0.900  -0.0968   0.00548   0.00120  -0.0012   0.7752   0.5927
  -0.800  -0.0860   0.00546   0.00119  -0.0011   0.7659   0.6036
  -0.700  -0.0753   0.00545   0.00118  -0.0010   0.7566   0.6142
  -0.600  -0.0644   0.00544   0.00117  -0.0008   0.7466   0.6244
  -0.500  -0.0538   0.00542   0.00116  -0.0007   0.7372   0.6354
  -0.400  -0.0430   0.00541   0.00116  -0.0005   0.7272   0.6457
  -0.300  -0.0322   0.00541   0.00115  -0.0004   0.7173   0.6562
  -0.100  -0.0107   0.00540   0.00114  -0.0001   0.6972   0.6765
   0.000   0.0000   0.00540   0.00114  -0.0000   0.6871   0.6870
   0.100   0.0107   0.00540   0.00114   0.0001   0.6766   0.6971
   0.300   0.0322   0.00541   0.00115   0.0004   0.6559   0.7174
   0.400   0.0430   0.00541   0.00115   0.0005   0.6455   0.7271
   0.500   0.0538   0.00542   0.00116   0.0007   0.6353   0.7373
   0.600   0.0645   0.00544   0.00117   0.0008   0.6246   0.7467
   0.700   0.0754   0.00545   0.00118   0.0009   0.6143   0.7566
   0.800   0.0860   0.00546   0.00119   0.0011   0.6041   0.7659
   0.900   0.0968   0.00548   0.00120   0.0012   0.5929   0.7752
   1.000   0.1075   0.00549   0.00122   0.0014   0.5827   0.7846
   1.100   0.1182   0.00552   0.00123   0.0015   0.5718   0.7935
   1.200   0.1289   0.00554   0.00125   0.0017   0.5607   0.8027
   1.300   0.1397   0.00556   0.00127   0.0018   0.5499   0.8112
   1.400   0.1503   0.00560   0.00129   0.0020   0.5394   0.8203
   1.500   0.1611   0.00562   0.00131   0.0021   0.5285   0.8282
   1.600   0.1718   0.00565   0.00133   0.0023   0.5181   0.8368
   1.800   0.1932   0.00572   0.00138   0.0026   0.4961   0.8526
   1.900   0.2039   0.00576   0.00141   0.0028   0.4856   0.8599
   2.000   0.2144   0.00581   0.00144   0.0030   0.4742   0.8674
   2.200   0.2357   0.00590   0.00150   0.0033   0.4524   0.8814
   2.300   0.2463   0.00596   0.00153   0.0035   0.4414   0.8883
   2.400   0.2570   0.00601   0.00156   0.0036   0.4302   0.8944
   2.500   0.2675   0.00606   0.00160   0.0038   0.4196   0.9008
   2.600   0.2780   0.00613   0.00164   0.0040   0.4083   0.9071
   2.700   0.2886   0.00619   0.00168   0.0042   0.3970   0.9124
   2.800   0.2991   0.00626   0.00172   0.0044   0.3866   0.9182
   3.000   0.3201   0.00640   0.00180   0.0048   0.3638   0.9284
