  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING BACXXX AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2755   0.00604   0.00132  -0.0499   0.1583   0.0220
   0.100   0.2909   0.00603   0.00133  -0.0497   0.1542   0.0299
   0.200   0.3065   0.00602   0.00133  -0.0496   0.1535   0.0369
   0.300   0.3220   0.00602   0.00134  -0.0495   0.1516   0.0457
   0.400   0.3367   0.00605   0.00137  -0.0492   0.1437   0.0547
   0.500   0.3520   0.00605   0.00138  -0.0491   0.1393   0.0649
   0.700   0.3716   0.00547   0.00133  -0.0471   0.1134   0.3637
   0.800   0.3861   0.00539   0.00133  -0.0468   0.1121   0.4009
   1.000   0.4164   0.00539   0.00138  -0.0464   0.1069   0.4296
   1.100   0.4321   0.00540   0.00140  -0.0463   0.1042   0.4378
   1.200   0.4474   0.00538   0.00142  -0.0461   0.1005   0.4554
   1.300   0.4629   0.00536   0.00144  -0.0460   0.1002   0.4733
   1.400   0.4790   0.00538   0.00146  -0.0459   0.1000   0.4760
   1.500   0.4952   0.00540   0.00148  -0.0458   0.0999   0.4783
   1.600   0.5114   0.00542   0.00151  -0.0457   0.0997   0.4794
   1.700   0.5275   0.00544   0.00154  -0.0456   0.0994   0.4858
   1.800   0.5435   0.00544   0.00156  -0.0455   0.0990   0.4936
   1.900   0.5594   0.00545   0.00159  -0.0453   0.0980   0.5044
   2.000   0.5755   0.00548   0.00163  -0.0451   0.0969   0.5076
   2.100   0.5915   0.00553   0.00167  -0.0449   0.0947   0.5087
   2.200   0.6075   0.00558   0.00171  -0.0447   0.0920   0.5096
   2.300   0.6237   0.00561   0.00175  -0.0445   0.0897   0.5124
   2.400   0.6400   0.00564   0.00179  -0.0443   0.0875   0.5150
   2.500   0.6565   0.00567   0.00182  -0.0441   0.0871   0.5172
   2.600   0.6730   0.00570   0.00186  -0.0439   0.0868   0.5192
   2.700   0.6895   0.00573   0.00189  -0.0437   0.0864   0.5209
   2.800   0.7061   0.00577   0.00193  -0.0435   0.0858   0.5222
   3.000   0.7354   0.00602   0.00214  -0.0423   0.0626   0.5237
