  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3513   0.00546   0.00142  -0.0707   0.3186   0.1550
   0.100   0.3681   0.00547   0.00144  -0.0705   0.3123   0.1595
   0.200   0.3851   0.00546   0.00143  -0.0704   0.3101   0.1666
   0.300   0.4022   0.00546   0.00144  -0.0703   0.3080   0.1699
   0.400   0.4188   0.00549   0.00146  -0.0701   0.3031   0.1716
   0.500   0.4353   0.00551   0.00148  -0.0699   0.2970   0.1783
   0.600   0.4523   0.00550   0.00148  -0.0698   0.2937   0.1850
   0.700   0.4695   0.00551   0.00149  -0.0697   0.2919   0.1866
   0.800   0.4860   0.00554   0.00152  -0.0695   0.2871   0.1922
   0.900   0.5021   0.00556   0.00155  -0.0692   0.2798   0.1997
   1.000   0.5193   0.00557   0.00156  -0.0691   0.2769   0.2029
   1.100   0.5364   0.00558   0.00158  -0.0690   0.2746   0.2068
   1.200   0.5528   0.00561   0.00161  -0.0687   0.2699   0.2138
   1.300   0.5690   0.00564   0.00164  -0.0684   0.2629   0.2183
   1.400   0.5863   0.00566   0.00166  -0.0683   0.2602   0.2205
   1.500   0.6033   0.00567   0.00168  -0.0681   0.2577   0.2289
   1.600   0.6192   0.00571   0.00172  -0.0677   0.2518   0.2347
   1.700   0.6358   0.00575   0.00176  -0.0675   0.2449   0.2374
   1.800   0.6530   0.00576   0.00178  -0.0673   0.2432   0.2441
   1.900   0.6693   0.00580   0.00182  -0.0670   0.2385   0.2513
   2.000   0.6854   0.00585   0.00187  -0.0666   0.2316   0.2546
   2.100   0.7026   0.00588   0.00190  -0.0664   0.2281   0.2584
   2.200   0.7193   0.00590   0.00194  -0.0661   0.2251   0.2668
   2.300   0.7352   0.00596   0.00199  -0.0656   0.2190   0.2719
   2.400   0.7519   0.00600   0.00204  -0.0653   0.2128   0.2752
   2.500   0.7688   0.00603   0.00207  -0.0650   0.2103   0.2840
   2.600   0.7846   0.00609   0.00214  -0.0645   0.2045   0.2893
   2.700   0.8010   0.00615   0.00219  -0.0641   0.1976   0.2923
   2.800   0.8181   0.00617   0.00223  -0.0637   0.1957   0.3019
   2.900   0.8339   0.00623   0.00230  -0.0632   0.1901   0.3077
