  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 22112                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3659   0.00628   0.00187  -0.0008   0.2756   0.0138
  -2.900  -0.3485   0.00626   0.00183  -0.0004   0.2685   0.0140
  -2.800  -0.3312   0.00625   0.00178   0.0001   0.2584   0.0145
  -2.700  -0.3140   0.00624   0.00175   0.0004   0.2507   0.0150
  -2.600  -0.2968   0.00622   0.00171   0.0008   0.2436   0.0155
  -2.500  -0.2795   0.00620   0.00168   0.0011   0.2395   0.0160
  -2.400  -0.2625   0.00620   0.00165   0.0015   0.2301   0.0163
  -2.300  -0.2452   0.00618   0.00162   0.0017   0.2263   0.0167
  -2.200  -0.2283   0.00618   0.00160   0.0020   0.2188   0.0169
  -2.100  -0.2112   0.00617   0.00158   0.0023   0.2119   0.0170
  -2.000  -0.1942   0.00616   0.00155   0.0025   0.2070   0.0178
  -1.900  -0.1774   0.00616   0.00154   0.0028   0.1974   0.0186
  -1.800  -0.1605   0.00615   0.00151   0.0030   0.1944   0.0192
  -1.700  -0.1438   0.00616   0.00150   0.0033   0.1857   0.0199
  -1.600  -0.1269   0.00615   0.00148   0.0035   0.1802   0.0202
  -1.500  -0.1102   0.00618   0.00148   0.0037   0.1713   0.0204
  -1.400  -0.0934   0.00618   0.00147   0.0039   0.1647   0.0209
  -1.300  -0.0769   0.00619   0.00146   0.0041   0.1569   0.0223
  -1.200  -0.0601   0.00619   0.00145   0.0043   0.1514   0.0234
  -1.100  -0.0433   0.00618   0.00144   0.0044   0.1491   0.0239
  -1.000  -0.0265   0.00618   0.00144   0.0046   0.1463   0.0243
  -0.900  -0.0098   0.00619   0.00143   0.0047   0.1422   0.0250
  -0.800   0.0070   0.00618   0.00143   0.0049   0.1382   0.0269
  -0.700   0.0238   0.00617   0.00142   0.0050   0.1371   0.0281
  -0.600   0.0406   0.00617   0.00141   0.0051   0.1362   0.0287
  -0.500   0.0575   0.00617   0.00141   0.0052   0.1350   0.0296
  -0.400   0.0742   0.00617   0.00141   0.0053   0.1332   0.0316
  -0.300   0.0909   0.00617   0.00141   0.0055   0.1311   0.0332
  -0.200   0.1077   0.00617   0.00141   0.0056   0.1287   0.0342
  -0.100   0.1244   0.00618   0.00142   0.0057   0.1257   0.0365
  -0.000   0.1412   0.00617   0.00142   0.0058   0.1235   0.0393
   0.100   0.1581   0.00617   0.00142   0.0059   0.1232   0.0406
   0.200   0.1750   0.00616   0.00142   0.0060   0.1229   0.0441
   0.300   0.1918   0.00615   0.00143   0.0061   0.1226   0.0477
   0.400   0.2087   0.00615   0.00143   0.0062   0.1220   0.0523
   0.500   0.2254   0.00614   0.00144   0.0064   0.1211   0.0613
   0.600   0.2419   0.00612   0.00145   0.0066   0.1196   0.0784
   0.700   0.2546   0.00578   0.00138   0.0073   0.1184   0.2099
   0.800   0.2708   0.00574   0.00139   0.0075   0.1163   0.2318
   0.900   0.2870   0.00569   0.00139   0.0077   0.1148   0.2570
   1.100   0.3199   0.00562   0.00140   0.0081   0.1109   0.2968
   1.200   0.3367   0.00560   0.00141   0.0083   0.1102   0.3099
   1.300   0.3535   0.00557   0.00142   0.0084   0.1101   0.3250
   1.400   0.3705   0.00556   0.00144   0.0086   0.1099   0.3364
   1.500   0.3876   0.00556   0.00146   0.0087   0.1094   0.3437
   1.600   0.4043   0.00553   0.00147   0.0089   0.1091   0.3646
   1.700   0.4209   0.00550   0.00149   0.0092   0.1083   0.3864
   1.800   0.4380   0.00550   0.00151   0.0094   0.1070   0.3966
   1.900   0.4549   0.00551   0.00154   0.0096   0.1057   0.4080
   2.000   0.4717   0.00550   0.00157   0.0098   0.1041   0.4246
   2.100   0.4887   0.00550   0.00159   0.0101   0.1021   0.4404
   2.200   0.5057   0.00549   0.00162   0.0103   0.1002   0.4570
   2.300   0.5227   0.00547   0.00165   0.0106   0.0986   0.4775
   2.400   0.5402   0.00547   0.00168   0.0108   0.0980   0.4872
   2.500   0.5579   0.00549   0.00171   0.0110   0.0978   0.4911
   2.600   0.5757   0.00551   0.00174   0.0113   0.0976   0.4984
   2.700   0.5934   0.00552   0.00177   0.0115   0.0973   0.5049
   2.800   0.6113   0.00554   0.00181   0.0118   0.0968   0.5084
   2.900   0.6291   0.00556   0.00184   0.0121   0.0961   0.5177
   3.000   0.6468   0.00559   0.00189   0.0124   0.0947   0.5234
