  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA_64(2)-415                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.560     Re =    14.700 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3035   0.00652   0.00236  -0.0926   0.5561   0.0181
  -4.900  -0.2881   0.00647   0.00230  -0.0925   0.5539   0.0186
  -4.800  -0.2727   0.00643   0.00225  -0.0924   0.5515   0.0190
  -4.700  -0.2573   0.00638   0.00219  -0.0923   0.5485   0.0194
  -4.600  -0.2418   0.00634   0.00214  -0.0923   0.5461   0.0196
  -4.500  -0.2263   0.00629   0.00209  -0.0923   0.5454   0.0201
  -4.400  -0.2109   0.00624   0.00203  -0.0923   0.5445   0.0212
  -4.300  -0.1955   0.00619   0.00198  -0.0923   0.5434   0.0222
  -4.200  -0.1802   0.00614   0.00193  -0.0923   0.5420   0.0229
  -4.100  -0.1649   0.00611   0.00189  -0.0923   0.5403   0.0233
  -4.000  -0.1496   0.00608   0.00185  -0.0923   0.5384   0.0236
  -3.900  -0.1344   0.00604   0.00181  -0.0923   0.5362   0.0243
  -3.800  -0.1192   0.00601   0.00177  -0.0924   0.5337   0.0257
  -3.700  -0.1040   0.00597   0.00173  -0.0924   0.5309   0.0267
  -3.600  -0.0888   0.00593   0.00169  -0.0925   0.5297   0.0276
  -3.500  -0.0735   0.00589   0.00165  -0.0926   0.5290   0.0281
  -3.400  -0.0582   0.00586   0.00162  -0.0927   0.5282   0.0285
  -3.300  -0.0430   0.00582   0.00158  -0.0928   0.5271   0.0302
  -3.200  -0.0278   0.00578   0.00155  -0.0929   0.5258   0.0319
  -3.100  -0.0127   0.00575   0.00151  -0.0930   0.5242   0.0330
  -2.900   0.0174   0.00569   0.00145  -0.0932   0.5207   0.0374
  -2.800   0.0324   0.00565   0.00142  -0.0933   0.5184   0.0402
  -2.700   0.0474   0.00561   0.00138  -0.0934   0.5158   0.0457
  -2.600   0.0625   0.00557   0.00135  -0.0936   0.5138   0.0505
  -2.500   0.0776   0.00550   0.00131  -0.0937   0.5133   0.0588
  -2.400   0.0926   0.00544   0.00128  -0.0939   0.5126   0.0667
  -2.300   0.1077   0.00538   0.00124  -0.0941   0.5117   0.0763
  -2.200   0.1228   0.00534   0.00121  -0.0943   0.5107   0.0842
  -2.100   0.1378   0.00529   0.00118  -0.0945   0.5094   0.0928
  -2.000   0.1528   0.00522   0.00115  -0.0947   0.5079   0.1083
  -1.900   0.1677   0.00515   0.00112  -0.0949   0.5061   0.1231
  -1.800   0.1826   0.00510   0.00109  -0.0951   0.5043   0.1358
  -1.700   0.1975   0.00504   0.00107  -0.0953   0.5020   0.1523
  -1.600   0.2125   0.00496   0.00103  -0.0955   0.4992   0.1738
  -1.500   0.2275   0.00489   0.00100  -0.0958   0.4976   0.1910
