  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA_sc_20410                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =    22.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3674   0.00549   0.00164  -0.0632   0.7099   0.0233
  -4.900  -0.3550   0.00547   0.00161  -0.0633   0.7031   0.0242
  -4.800  -0.3427   0.00546   0.00157  -0.0635   0.6882   0.0264
  -4.700  -0.3305   0.00549   0.00155  -0.0637   0.6643   0.0273
  -4.600  -0.3183   0.00550   0.00153  -0.0639   0.6473   0.0278
  -4.500  -0.3061   0.00552   0.00151  -0.0640   0.6296   0.0281
  -4.300  -0.2817   0.00556   0.00147  -0.0644   0.5965   0.0283
  -4.200  -0.2694   0.00555   0.00145  -0.0645   0.5880   0.0287
  -4.100  -0.2572   0.00556   0.00143  -0.0647   0.5736   0.0301
  -3.900  -0.2327   0.00558   0.00139  -0.0650   0.5433   0.0323
  -3.800  -0.2204   0.00557   0.00137  -0.0652   0.5331   0.0332
  -3.700  -0.2081   0.00556   0.00135  -0.0654   0.5286   0.0339
  -3.600  -0.1958   0.00556   0.00134  -0.0656   0.5195   0.0343
  -3.500  -0.1835   0.00554   0.00132  -0.0658   0.5136   0.0366
  -3.400  -0.1713   0.00558   0.00131  -0.0659   0.4887   0.0387
  -3.300  -0.1590   0.00559   0.00129  -0.0661   0.4715   0.0405
  -3.200  -0.1469   0.00562   0.00127  -0.0663   0.4493   0.0413
  -3.100  -0.1347   0.00567   0.00127  -0.0665   0.4254   0.0434
  -3.000  -0.1224   0.00568   0.00125  -0.0667   0.4072   0.0474
  -2.900  -0.1101   0.00569   0.00123  -0.0669   0.3874   0.0496
  -2.800  -0.0979   0.00570   0.00122  -0.0670   0.3800   0.0501
  -2.700  -0.0858   0.00576   0.00122  -0.0672   0.3485   0.0513
  -2.600  -0.0737   0.00580   0.00121  -0.0674   0.3276   0.0536
  -2.500  -0.0614   0.00579   0.00120  -0.0675   0.3195   0.0566
  -2.400  -0.0491   0.00580   0.00119  -0.0677   0.3070   0.0589
  -2.300  -0.0369   0.00582   0.00119  -0.0679   0.2919   0.0602
  -2.200  -0.0247   0.00584   0.00118  -0.0681   0.2808   0.0629
  -2.100  -0.0123   0.00581   0.00116  -0.0683   0.2752   0.0693
  -2.000   0.0001   0.00579   0.00115  -0.0685   0.2717   0.0737
  -1.900   0.0124   0.00580   0.00114  -0.0687   0.2588   0.0799
  -1.800   0.0248   0.00581   0.00114  -0.0689   0.2443   0.0849
  -1.600   0.0490   0.00588   0.00114  -0.0692   0.2085   0.0923
  -1.500   0.0614   0.00588   0.00113  -0.0694   0.1976   0.0977
  -1.400   0.0737   0.00589   0.00113  -0.0696   0.1849   0.1071
  -1.300   0.0862   0.00588   0.00113  -0.0698   0.1751   0.1177
  -1.200   0.0987   0.00588   0.00112  -0.0701   0.1630   0.1293
  -1.100   0.1109   0.00589   0.00112  -0.0702   0.1518   0.1353
