  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA_sc_20414                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.1747   0.00692   0.00279  -0.0976   0.3121   0.0558
  -2.900  -0.1552   0.00693   0.00275  -0.0980   0.2926   0.0575
  -2.800  -0.1358   0.00693   0.00272  -0.0983   0.2809   0.0582
  -2.700  -0.1163   0.00691   0.00268  -0.0987   0.2719   0.0586
  -2.600  -0.0972   0.00692   0.00266  -0.0990   0.2591   0.0597
  -2.500  -0.0779   0.00693   0.00263  -0.0993   0.2448   0.0620
  -2.300  -0.0391   0.00691   0.00257  -0.1002   0.2207   0.0656
  -2.200  -0.0199   0.00691   0.00255  -0.1006   0.2091   0.0687
  -2.100   0.0000   0.00689   0.00251  -0.1012   0.1974   0.0745
  -2.000   0.0193   0.00687   0.00248  -0.1016   0.1880   0.0787
  -1.900   0.0387   0.00688   0.00246  -0.1021   0.1705   0.0834
  -1.800   0.0575   0.00689   0.00245  -0.1024   0.1615   0.0847
  -1.700   0.0771   0.00687   0.00242  -0.1029   0.1558   0.0907
  -1.600   0.0965   0.00685   0.00240  -0.1033   0.1514   0.0945
  -1.500   0.1150   0.00689   0.00240  -0.1036   0.1364   0.0960
  -1.400   0.1339   0.00690   0.00240  -0.1040   0.1249   0.1016
  -1.300   0.1531   0.00689   0.00238  -0.1044   0.1185   0.1061
  -1.100   0.1912   0.00688   0.00237  -0.1052   0.1100   0.1153
  -1.000   0.2101   0.00691   0.00238  -0.1056   0.0956   0.1209
  -0.900   0.2299   0.00689   0.00236  -0.1062   0.0872   0.1339
  -0.800   0.2485   0.00690   0.00237  -0.1064   0.0856   0.1348
  -0.700   0.2670   0.00691   0.00237  -0.1066   0.0843   0.1353
  -0.600   0.2855   0.00692   0.00238  -0.1069   0.0828   0.1384
  -0.500   0.3043   0.00692   0.00238  -0.1071   0.0813   0.1428
  -0.400   0.3235   0.00691   0.00238  -0.1075   0.0795   0.1477
  -0.300   0.3424   0.00691   0.00239  -0.1078   0.0783   0.1508
  -0.200   0.3627   0.00686   0.00238  -0.1085   0.0780   0.1689
  -0.100   0.3827   0.00682   0.00237  -0.1090   0.0779   0.1822
  -0.000   0.4018   0.00682   0.00238  -0.1093   0.0776   0.1904
   0.100   0.4213   0.00680   0.00238  -0.1097   0.0773   0.1988
   0.300   0.4600   0.00678   0.00240  -0.1104   0.0757   0.2188
   0.500   0.4995   0.00676   0.00243  -0.1113   0.0694   0.2494
   0.600   0.5202   0.00671   0.00243  -0.1119   0.0684   0.2734
   0.700   0.5408   0.00667   0.00243  -0.1125   0.0665   0.2969
   0.800   0.5605   0.00668   0.00246  -0.1129   0.0630   0.3131
   0.900   0.5798   0.00668   0.00248  -0.1131   0.0605   0.3242
   1.000   0.5993   0.00669   0.00251  -0.1134   0.0580   0.3389
   1.200   0.6400   0.00665   0.00256  -0.1142   0.0533   0.3820
   1.300   0.6598   0.00665   0.00259  -0.1145   0.0515   0.3983
   1.500   0.7011   0.00661   0.00264  -0.1153   0.0474   0.4483
   1.600   0.7213   0.00660   0.00267  -0.1156   0.0463   0.4672
   1.700   0.7416   0.00660   0.00272  -0.1158   0.0446   0.4903
   1.800   0.7613   0.00661   0.00276  -0.1159   0.0428   0.5029
   1.900   0.7803   0.00665   0.00281  -0.1157   0.0419   0.5099
   2.000   0.8000   0.00667   0.00285  -0.1157   0.0416   0.5187
   2.100   0.8195   0.00669   0.00291  -0.1156   0.0411   0.5297
   2.200   0.8390   0.00672   0.00296  -0.1154   0.0403   0.5376
   2.300   0.8579   0.00678   0.00302  -0.1151   0.0394   0.5392
   2.400   0.8769   0.00683   0.00309  -0.1148   0.0382   0.5444
   2.500   0.8964   0.00687   0.00315  -0.1145   0.0370   0.5507
   2.600   0.9158   0.00692   0.00321  -0.1142   0.0366   0.5544
   2.700   0.9351   0.00697   0.00327  -0.1137   0.0360   0.5558
   2.800   0.9544   0.00703   0.00334  -0.1133   0.0353   0.5567
   2.900   0.9736   0.00709   0.00342  -0.1127   0.0343   0.5579
   3.000   0.9931   0.00716   0.00350  -0.1122   0.0330   0.5621
