  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0610 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.5931   0.00624   0.00195  -0.1375   0.0398   0.3074
   0.100   0.6122   0.00622   0.00198  -0.1379   0.0384   0.3350
   0.200   0.6313   0.00620   0.00201  -0.1383   0.0352   0.3657
   0.300   0.6495   0.00621   0.00204  -0.1384   0.0329   0.3798
   0.400   0.6680   0.00620   0.00207  -0.1386   0.0326   0.3968
   0.500   0.6858   0.00623   0.00211  -0.1385   0.0320   0.4047
   0.800   0.7398   0.00632   0.00225  -0.1383   0.0271   0.4315
   0.900   0.7580   0.00634   0.00228  -0.1382   0.0267   0.4397
   1.000   0.7761   0.00637   0.00233  -0.1380   0.0261   0.4476
   1.100   0.7946   0.00640   0.00238  -0.1379   0.0245   0.4601
   1.200   0.8131   0.00643   0.00244  -0.1378   0.0221   0.4731
   1.300   0.8318   0.00646   0.00250  -0.1376   0.0208   0.4869
   1.400   0.8500   0.00652   0.00258  -0.1373   0.0176   0.4969
   1.500   0.8688   0.00657   0.00267  -0.1371   0.0149   0.5130
   1.600   0.8881   0.00659   0.00273  -0.1369   0.0137   0.5315
   1.700   0.9071   0.00663   0.00280  -0.1366   0.0130   0.5450
   1.800   0.9264   0.00666   0.00288  -0.1363   0.0124   0.5604
   1.900   0.9454   0.00670   0.00295  -0.1358   0.0121   0.5703
   2.000   0.9646   0.00675   0.00303  -0.1353   0.0119   0.5783
   2.100   0.9836   0.00681   0.00311  -0.1346   0.0119   0.5797
   2.200   1.0027   0.00688   0.00320  -0.1338   0.0121   0.5803
   2.300   1.0220   0.00698   0.00332  -0.1329   0.0125   0.5808
   2.400   1.0411   0.00712   0.00352  -0.1318   0.0129   0.5811
   2.500   1.0591   0.00747   0.00397  -0.1301   0.0134   0.5822
   2.600   1.0751   0.00794   0.00456  -0.1283   0.0135   0.5841
   2.700   1.0889   0.00860   0.00534  -0.1263   0.0134   0.5865
   2.800   1.1015   0.00941   0.00628  -0.1243   0.0132   0.5886
   2.900   1.1138   0.01036   0.00735  -0.1225   0.0130   0.5902
