  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA SC(2)-0610 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =    22.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1679   0.00545   0.00144  -0.0998   0.6091   0.0300
  -4.800  -0.1431   0.00543   0.00140  -0.1003   0.5877   0.0334
  -4.700  -0.1308   0.00544   0.00138  -0.1005   0.5765   0.0343
  -4.600  -0.1185   0.00543   0.00136  -0.1006   0.5701   0.0346
  -4.500  -0.1063   0.00544   0.00135  -0.1008   0.5572   0.0362
  -4.400  -0.0939   0.00545   0.00134  -0.1010   0.5458   0.0382
  -4.300  -0.0816   0.00545   0.00132  -0.1012   0.5328   0.0400
  -4.100  -0.0571   0.00547   0.00129  -0.1016   0.5072   0.0418
  -4.000  -0.0449   0.00549   0.00128  -0.1018   0.4963   0.0434
  -3.900  -0.0324   0.00547   0.00126  -0.1020   0.4913   0.0466
  -3.800  -0.0200   0.00546   0.00125  -0.1022   0.4835   0.0493
  -3.700  -0.0077   0.00546   0.00124  -0.1024   0.4719   0.0503
  -3.600   0.0043   0.00552   0.00124  -0.1026   0.4486   0.0508
  -3.400   0.0280   0.00571   0.00124  -0.1028   0.3659   0.0565
  -3.300   0.0401   0.00574   0.00123  -0.1030   0.3432   0.0587
  -3.200   0.0522   0.00580   0.00123  -0.1032   0.3162   0.0612
  -3.100   0.0646   0.00578   0.00122  -0.1034   0.3121   0.0669
  -3.000   0.0771   0.00578   0.00121  -0.1037   0.3013   0.0722
  -2.900   0.0894   0.00577   0.00120  -0.1038   0.2969   0.0749
  -2.800   0.1017   0.00579   0.00119  -0.1040   0.2818   0.0811
  -2.600   0.1263   0.00581   0.00119  -0.1044   0.2589   0.0927
  -2.500   0.1387   0.00581   0.00118  -0.1047   0.2464   0.0989
  -2.400   0.1507   0.00585   0.00118  -0.1048   0.2298   0.0999
  -2.300   0.1629   0.00587   0.00118  -0.1049   0.2189   0.1019
  -2.200   0.1750   0.00591   0.00119  -0.1051   0.2022   0.1076
  -2.100   0.1872   0.00593   0.00119  -0.1053   0.1881   0.1114
  -2.000   0.1994   0.00596   0.00119  -0.1054   0.1769   0.1144
  -1.900   0.2119   0.00594   0.00119  -0.1057   0.1699   0.1274
  -1.800   0.2240   0.00599   0.00120  -0.1058   0.1502   0.1329
  -1.600   0.2486   0.00599   0.00120  -0.1062   0.1382   0.1457
  -1.400   0.2738   0.00597   0.00120  -0.1068   0.1226   0.1751
  -1.300   0.2863   0.00596   0.00121  -0.1070   0.1177   0.1897
  -1.200   0.2985   0.00597   0.00121  -0.1072   0.1126   0.1944
  -1.100   0.3109   0.00595   0.00121  -0.1074   0.1117   0.2026
  -1.000   0.3232   0.00596   0.00123  -0.1075   0.1078   0.2100
  -0.900   0.3357   0.00597   0.00123  -0.1078   0.0970   0.2239
