  
       XFOIL         Version 6.99
  
 Calculated polar for: boeing_106                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.0007   0.00559   0.00163  -0.0922   0.4308   0.0228
  -2.900   0.0169   0.00556   0.00160  -0.0919   0.4292   0.0230
  -2.800   0.0342   0.00554   0.00156  -0.0915   0.4263   0.0232
  -2.700   0.0512   0.00553   0.00154  -0.0911   0.4222   0.0235
  -2.600   0.0682   0.00552   0.00151  -0.0907   0.4169   0.0238
  -2.500   0.0856   0.00550   0.00148  -0.0904   0.4152   0.0242
  -2.400   0.1027   0.00548   0.00146  -0.0901   0.4129   0.0245
  -2.300   0.1194   0.00548   0.00144  -0.0898   0.4080   0.0248
  -2.200   0.1359   0.00548   0.00143  -0.0895   0.4010   0.0253
  -2.100   0.1530   0.00546   0.00140  -0.0892   0.3990   0.0256
  -2.000   0.1696   0.00546   0.00139  -0.0889   0.3949   0.0259
  -1.900   0.1858   0.00548   0.00139  -0.0886   0.3876   0.0261
  -1.800   0.2027   0.00548   0.00138  -0.0884   0.3838   0.0263
  -1.700   0.2192   0.00548   0.00137  -0.0881   0.3797   0.0265
  -1.600   0.2353   0.00550   0.00137  -0.0878   0.3729   0.0266
  -1.500   0.2519   0.00550   0.00136  -0.0876   0.3684   0.0267
  -1.400   0.2686   0.00550   0.00135  -0.0874   0.3655   0.0267
  -1.300   0.2848   0.00552   0.00136  -0.0872   0.3607   0.0268
  -1.200   0.3010   0.00553   0.00136  -0.0869   0.3540   0.0274
  -1.100   0.3176   0.00552   0.00135  -0.0868   0.3520   0.0287
  -1.000   0.3340   0.00553   0.00135  -0.0866   0.3490   0.0297
  -0.900   0.3500   0.00554   0.00135  -0.0864   0.3444   0.0306
  -0.800   0.3662   0.00555   0.00136  -0.0862   0.3385   0.0315
  -0.700   0.3828   0.00554   0.00135  -0.0860   0.3368   0.0321
  -0.600   0.3993   0.00554   0.00135  -0.0859   0.3348   0.0348
  -0.500   0.4154   0.00554   0.00135  -0.0857   0.3318   0.0372
  -0.400   0.4315   0.00556   0.00136  -0.0855   0.3281   0.0384
  -0.300   0.4477   0.00556   0.00137  -0.0853   0.3230   0.0422
  -0.200   0.4641   0.00555   0.00136  -0.0852   0.3214   0.0451
  -0.100   0.4806   0.00556   0.00137  -0.0851   0.3193   0.0460
  -0.000   0.4965   0.00558   0.00139  -0.0849   0.3155   0.0498
   0.100   0.5123   0.00559   0.00140  -0.0847   0.3106   0.0536
   0.200   0.5285   0.00559   0.00141  -0.0845   0.3064   0.0585
   0.300   0.5444   0.00554   0.00140  -0.0843   0.3052   0.0776
   0.400   0.5604   0.00552   0.00141  -0.0841   0.3034   0.0890
   0.500   0.5767   0.00554   0.00142  -0.0840   0.3011   0.0941
   0.600   0.5926   0.00555   0.00144  -0.0838   0.2981   0.1008
   0.700   0.6088   0.00557   0.00146  -0.0836   0.2946   0.1025
   0.800   0.6254   0.00558   0.00148  -0.0835   0.2910   0.1031
   0.900   0.6422   0.00559   0.00149  -0.0834   0.2905   0.1050
   1.000   0.6590   0.00559   0.00150  -0.0834   0.2899   0.1093
   1.100   0.6757   0.00560   0.00152  -0.0833   0.2889   0.1137
   1.200   0.6923   0.00560   0.00154  -0.0832   0.2878   0.1177
   1.300   0.7088   0.00562   0.00156  -0.0830   0.2859   0.1215
   1.400   0.7250   0.00564   0.00159  -0.0828   0.2836   0.1290
   1.500   0.7410   0.00566   0.00162  -0.0826   0.2798   0.1335
   1.600   0.7576   0.00568   0.00165  -0.0824   0.2763   0.1368
   1.700   0.7744   0.00569   0.00166  -0.0823   0.2753   0.1446
   1.800   0.7912   0.00568   0.00168  -0.0822   0.2747   0.1532
   1.900   0.8078   0.00567   0.00171  -0.0820   0.2739   0.1679
   2.000   0.8240   0.00566   0.00173  -0.0818   0.2724   0.1925
   2.100   0.8400   0.00565   0.00176  -0.0815   0.2702   0.2151
   2.200   0.8560   0.00566   0.00181  -0.0812   0.2674   0.2342
   2.400   0.8882   0.00565   0.00187  -0.0806   0.2608   0.2784
   2.600   0.9213   0.00569   0.00196  -0.0801   0.2559   0.2977
   2.700   0.9364   0.00576   0.00203  -0.0796   0.2487   0.3081
   2.800   0.9530   0.00580   0.00207  -0.0794   0.2450   0.3133
   2.900   0.9689   0.00584   0.00213  -0.0790   0.2406   0.3244
   3.000   0.9838   0.00594   0.00222  -0.0784   0.2317   0.3299
