  
       XFOIL         Version 6.99
  
 Calculated polar for: boeing_737_midspan                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3010   0.00613   0.00175  -0.0176   0.2677   0.0218
  -2.900  -0.2839   0.00613   0.00172  -0.0172   0.2553   0.0230
  -2.800  -0.2669   0.00612   0.00169  -0.0169   0.2484   0.0241
  -2.700  -0.2497   0.00611   0.00166  -0.0166   0.2393   0.0250
  -2.600  -0.2324   0.00609   0.00163  -0.0163   0.2372   0.0255
  -2.500  -0.2153   0.00608   0.00161  -0.0161   0.2317   0.0274
  -2.400  -0.1983   0.00606   0.00158  -0.0158   0.2260   0.0293
  -2.300  -0.1813   0.00603   0.00155  -0.0155   0.2225   0.0331
  -2.200  -0.1644   0.00597   0.00150  -0.0153   0.2210   0.0408
  -2.100  -0.1477   0.00593   0.00147  -0.0150   0.2178   0.0487
  -2.000  -0.1313   0.00586   0.00142  -0.0147   0.2135   0.0612
  -1.900  -0.1152   0.00578   0.00137  -0.0144   0.2075   0.0789
  -1.800  -0.0999   0.00560   0.00127  -0.0139   0.2060   0.1145
  -1.700  -0.0833   0.00555   0.00124  -0.0137   0.2032   0.1271
  -1.600  -0.0667   0.00553   0.00122  -0.0135   0.1981   0.1365
  -1.500  -0.0502   0.00549   0.00120  -0.0132   0.1915   0.1465
  -1.400  -0.0336   0.00543   0.00117  -0.0130   0.1901   0.1600
  -1.300  -0.0166   0.00542   0.00116  -0.0128   0.1887   0.1661
  -1.200  -0.0002   0.00537   0.00114  -0.0126   0.1857   0.1813
  -1.100   0.0163   0.00534   0.00113  -0.0124   0.1812   0.1928
  -1.000   0.0328   0.00530   0.00111  -0.0122   0.1758   0.2059
  -0.900   0.0497   0.00527   0.00110  -0.0120   0.1746   0.2166
  -0.800   0.0665   0.00525   0.00110  -0.0119   0.1729   0.2246
  -0.700   0.0833   0.00526   0.00111  -0.0117   0.1688   0.2320
  -0.600   0.1000   0.00526   0.00111  -0.0115   0.1625   0.2377
  -0.500   0.1172   0.00527   0.00112  -0.0114   0.1595   0.2404
  -0.400   0.1343   0.00528   0.00113  -0.0112   0.1574   0.2433
  -0.300   0.1511   0.00529   0.00114  -0.0111   0.1536   0.2501
  -0.200   0.1679   0.00530   0.00115  -0.0109   0.1487   0.2559
  -0.100   0.1850   0.00531   0.00116  -0.0108   0.1453   0.2579
  -0.000   0.2023   0.00531   0.00117  -0.0106   0.1442   0.2620
   0.100   0.2192   0.00533   0.00119  -0.0105   0.1413   0.2669
   0.200   0.2360   0.00535   0.00121  -0.0103   0.1367   0.2719
   0.300   0.2531   0.00537   0.00123  -0.0101   0.1316   0.2742
   0.500   0.2874   0.00541   0.00127  -0.0098   0.1279   0.2819
   0.600   0.3042   0.00544   0.00130  -0.0096   0.1229   0.2863
   0.700   0.3213   0.00546   0.00132  -0.0094   0.1178   0.2895
   0.800   0.3387   0.00548   0.00134  -0.0092   0.1168   0.2915
   0.900   0.3560   0.00550   0.00137  -0.0091   0.1151   0.2940
   1.000   0.3730   0.00552   0.00140  -0.0088   0.1127   0.3013
   1.100   0.3901   0.00554   0.00143  -0.0086   0.1099   0.3073
   1.200   0.4075   0.00557   0.00146  -0.0084   0.1064   0.3100
   1.300   0.4248   0.00557   0.00148  -0.0082   0.1051   0.3194
   1.400   0.4423   0.00558   0.00150  -0.0080   0.1046   0.3248
   1.500   0.4598   0.00560   0.00153  -0.0078   0.1035   0.3294
   1.600   0.4770   0.00561   0.00156  -0.0075   0.1016   0.3380
   1.700   0.4944   0.00564   0.00160  -0.0073   0.0996   0.3428
   1.800   0.5119   0.00567   0.00164  -0.0070   0.0975   0.3502
   1.900   0.5293   0.00567   0.00166  -0.0067   0.0951   0.3606
   2.000   0.5468   0.00567   0.00169  -0.0064   0.0935   0.3748
   2.100   0.5644   0.00566   0.00172  -0.0061   0.0932   0.3880
   2.200   0.5822   0.00566   0.00175  -0.0059   0.0929   0.4013
   2.300   0.5999   0.00566   0.00178  -0.0055   0.0924   0.4126
   2.400   0.6176   0.00567   0.00182  -0.0052   0.0913   0.4262
   2.500   0.6354   0.00570   0.00187  -0.0049   0.0897   0.4332
   2.600   0.6531   0.00573   0.00191  -0.0045   0.0879   0.4433
   2.700   0.6711   0.00577   0.00197  -0.0041   0.0859   0.4480
   2.800   0.6892   0.00579   0.00201  -0.0037   0.0838   0.4571
   2.900   0.7075   0.00582   0.00205  -0.0033   0.0827   0.4623
   3.000   0.7261   0.00585   0.00210  -0.0029   0.0824   0.4645
