  
       XFOIL         Version 6.99
  
 Calculated polar for: boing_106                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4966   0.00558   0.00139  -0.0849   0.3156   0.0498
   0.100   0.5122   0.00559   0.00140  -0.0847   0.3104   0.0536
   0.200   0.5285   0.00559   0.00141  -0.0845   0.3064   0.0585
   0.300   0.5444   0.00554   0.00140  -0.0843   0.3052   0.0776
   0.400   0.5604   0.00552   0.00141  -0.0841   0.3034   0.0890
   0.500   0.5767   0.00554   0.00142  -0.0840   0.3011   0.0941
   0.600   0.5926   0.00554   0.00144  -0.0838   0.2981   0.1009
   0.700   0.6088   0.00557   0.00146  -0.0836   0.2946   0.1025
   0.800   0.6254   0.00558   0.00148  -0.0835   0.2910   0.1031
   0.900   0.6422   0.00559   0.00149  -0.0834   0.2905   0.1050
   1.000   0.6590   0.00559   0.00150  -0.0834   0.2899   0.1093
   1.100   0.6757   0.00560   0.00152  -0.0833   0.2890   0.1137
   1.200   0.6923   0.00560   0.00154  -0.0832   0.2878   0.1177
   1.300   0.7088   0.00562   0.00156  -0.0830   0.2859   0.1214
   1.400   0.7250   0.00564   0.00159  -0.0828   0.2837   0.1289
   1.500   0.7410   0.00566   0.00162  -0.0826   0.2797   0.1335
   1.600   0.7576   0.00568   0.00165  -0.0824   0.2763   0.1368
   1.700   0.7744   0.00569   0.00166  -0.0823   0.2753   0.1446
   1.800   0.7912   0.00568   0.00168  -0.0822   0.2747   0.1532
   1.900   0.8078   0.00567   0.00171  -0.0820   0.2738   0.1679
   2.000   0.8240   0.00566   0.00173  -0.0818   0.2724   0.1924
   2.100   0.8400   0.00565   0.00176  -0.0815   0.2702   0.2151
   2.200   0.8560   0.00566   0.00180  -0.0812   0.2674   0.2354
   2.300   0.8718   0.00565   0.00184  -0.0809   0.2643   0.2607
   2.400   0.8882   0.00565   0.00187  -0.0806   0.2608   0.2784
   2.600   0.9213   0.00569   0.00196  -0.0801   0.2559   0.2977
   2.700   0.9363   0.00577   0.00203  -0.0796   0.2484   0.3080
   2.800   0.9530   0.00580   0.00207  -0.0794   0.2450   0.3134
   2.900   0.9689   0.00584   0.00213  -0.0790   0.2406   0.3244
   3.000   0.9838   0.00594   0.00222  -0.0784   0.2316   0.3298
