  
       XFOIL         Version 6.99
  
 Calculated polar for: boing_737_midspan                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.670     Re =    29.611 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2023   0.00531   0.00117  -0.0106   0.1442   0.2619
   0.100   0.2192   0.00533   0.00119  -0.0105   0.1413   0.2669
   0.200   0.2360   0.00535   0.00121  -0.0103   0.1367   0.2719
   0.300   0.2531   0.00537   0.00123  -0.0101   0.1316   0.2742
   0.400   0.2704   0.00539   0.00125  -0.0100   0.1305   0.2763
   0.500   0.2874   0.00541   0.00127  -0.0098   0.1279   0.2819
   0.600   0.3042   0.00544   0.00130  -0.0096   0.1230   0.2863
   0.700   0.3213   0.00546   0.00132  -0.0094   0.1178   0.2895
   0.800   0.3387   0.00548   0.00134  -0.0092   0.1168   0.2915
   0.900   0.3560   0.00550   0.00137  -0.0091   0.1151   0.2940
   1.000   0.3730   0.00553   0.00140  -0.0088   0.1127   0.3013
   1.100   0.3901   0.00554   0.00143  -0.0086   0.1099   0.3073
   1.300   0.4248   0.00557   0.00148  -0.0082   0.1051   0.3194
   1.400   0.4423   0.00558   0.00150  -0.0080   0.1046   0.3248
   1.500   0.4598   0.00560   0.00153  -0.0078   0.1034   0.3295
   1.600   0.4770   0.00561   0.00156  -0.0075   0.1016   0.3380
   1.700   0.4944   0.00564   0.00160  -0.0073   0.0996   0.3428
   1.800   0.5119   0.00567   0.00164  -0.0070   0.0975   0.3502
   1.900   0.5293   0.00567   0.00166  -0.0067   0.0951   0.3605
   2.100   0.5644   0.00566   0.00172  -0.0061   0.0932   0.3880
   2.200   0.5822   0.00566   0.00175  -0.0059   0.0929   0.4013
   2.300   0.5999   0.00566   0.00178  -0.0055   0.0924   0.4126
   2.400   0.6176   0.00567   0.00182  -0.0052   0.0913   0.4262
   2.500   0.6354   0.00570   0.00187  -0.0049   0.0897   0.4332
   2.600   0.6531   0.00573   0.00191  -0.0045   0.0879   0.4433
   2.700   0.6711   0.00577   0.00197  -0.0041   0.0860   0.4481
   2.800   0.6892   0.00579   0.00201  -0.0037   0.0838   0.4570
   2.900   0.7075   0.00582   0.00205  -0.0033   0.0827   0.4623
   3.000   0.7261   0.00585   0.00210  -0.0029   0.0824   0.4645
